RIAD_CODE	LEI	COUNTRY_OF_REGISTRATION	NAME	BOX	ADDRESS	POSTAL	CITY	CATEGORY	HEAD_COUNTRY_OF_REGISTRATION	HEAD_NAME	HEAD_RIAD_CODE	HEAD_LEI	REPORT
PT5140	529900QDRMF6JEM32N12	PT	Caixa de Crédito Agrícola Mútuo de Loures, Sintra e Litoral, CRL		RUA DOS COMBATENTES DA GRANDE GUERRA, N.º 8 E 8-A	2670-426	Loures	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT5170	529900TX65J1TBZ1CH94	PT	Caixa de Crédito Agrícola Mútuo de Coruche, CRL		RUA DA MISERICÓRDIA, 36	2100-134	CORUCHE	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT5180	5493003UL33RMW6J3449	PT	Caixa de Crédito Agrícola Mútuo de Leiria, CRL		LARGO CÂNDIDO DOS REIS, Nºs. 19 A 25	2400-112	LEIRIA	Credit Institution					Euro Area BSI Statistics tail reporter
PT5190	529900CFBJM67NWEYP17	PT	Caixa de Crédito Agrícola Mútuo de Lourinhã, CRL		LARGO DA REPÚBLICA, 14	2530-120	LOURINHÃ	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT5200	549300B18L885HC51A38	PT	Caixa de Crédito Agrícola Mútuo de Mafra, CRL		TERREIRO D. JOÃO V	2644-010	MAFRA	Credit Institution					Euro Area BSI Statistics tail reporter
PT5230	5299004GUEBPVDAPHD87	PT	CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DE PERNES E ALCANHÕES, CRL		RUA ENG. ANTÓNIO TORRES, 140	2000-495	PERNES	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT5240	529900M49AZ8Y8SQIS61	PT	Caixa de Crédito Agrícola Mútuo de Porto de Mós, CRL		Avenida de Santo António, 20 C	2480-307	Porto de Mós	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT5270	529900Q7W9N5R4SFMH86	PT	Caixa de Crédito Agrícola Mútuo de Salvaterra de Magos, CRL		AVENIDA DR. ROBERTO FERREIRA DA FONSECA, N.º 60 A	2120-117	SALVATERRA DE MAGOS	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT5310	529900BRBW4RX4I7RX91	PT	Caixa de Crédito Agrícola Mútuo de Sobral de Monte Agraço, CRL		AVENIDA MARQUÊS DE POMBAL, 27/29	2590-041	SOBRAL DE MONTE AGRAÇO	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT5340	5299001SP39ZRG7YF519	PT	CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DE TORRES VEDRAS, C.R.L		RUA SANTOS BERNARDES, 16-A	2560-362	TORRES VEDRAS	Credit Institution					Euro Area BSI Statistics tail reporter
PT5360	529900K9Y446R13KIS14	PT	CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DE VILA FRANCA DE XIRA E ARRUDA DOS VINHOS, CRL		LARGO MARQUÊS DE POMBAL, 1/2	2600-222	VILA FRANCA DE XIRA	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT5430	5299004F22IYFGT4IX95	PT	Caixa de Crédito Agrícola Mútuo do Ribatejo Norte e Tramagal, CRL		PRAÇA 5 DE OUTUBRO, 37	2350-422	TORRES NOVAS	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT5460	5299006GQIG07C8AWL22	PT	CAIXA DE CREDITO AGRICOLA MUTUO DE ENTRE TEJO E SADO, CRL		AVª. D. JOÃO IV - Nº 2	2870-155	MONTIJO	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT5470	529900V1QTDW78P98039	PT	Caixa de Crédito Agrícola Mútuo do Ribatejo Sul, CRL		Rua Direita, n.º 99	2080-329	Benfica do Ribatejo	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT59	549300GR6DZ97DTA7913	PT	Caixa Económica da Misericórdia de Angra do Heroísmo, Caixa Económica Bancária, S.A.		R. Direita, 118	9700-066	Angra do Heroísmo	Credit Institution					Euro Area BSI Statistics tail reporter
PT6040	529900JPEF7B80TZK038	PT	Caixa de Crédito Agrícola Mútuo de Aljustrel e Almodôvar, CRL		RUA JOSÉ FRANCISCO DA SILVA ÁLVARO, 4	7600-105	ALJUSTREL	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT61	213800KYUPNOQPAQL758	PT	BANCO DE INVESTIMENTO GLOBAL S.A.		AVENIDA 24 DE JULHO, N.º 74-76	1200-869	LISBOA	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT6100	529900QI6CXEPAIZGR28	PT	CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DO ALENTEJO SUL, CRL		LARGO ENG. DUARTE PACHECO, 12	7800-019	BEJA	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT6150	52990064L6QGPUG6UF26	PT	Caixa de Crédito Agrícola Mútuo do Nordeste Alentejano, CRL		RUA DOM NUNO ÁLVARES PEREIRA, N.º 35	7300-200	PORTALEGRE	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT6160	529900Y8SNYG5NMKUJ85	PT	CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DE ELVAS, CAMPO MAIOR E BORBA, CRL		RUA DE OLIVENÇA, 7	7350-075	ELVAS	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT6170	529900BRJ8BQOVDKRN91	PT	Caixa de Crédito Agrícola Mútuo de Estremoz, Monforte e Arronches, CRL		LARGO DA REPÚBLICA, 1/2	7100-505	ESTREMOZ	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT6240	5299001VVTS0OR13UE44	PT	Caixa de Crédito Agrícola Mútuo de Moravis, CRL		PRAÇA CONSELHEIRO FERNANDO SOUSA	7490-221	MORA	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT6250	529900E51UW9ASFR1M54	PT	Caixa de Crédito Agrícola Mútuo do Guadiana Interior, CRL		RUA DAS TERÇARIAS, S/N	7860-035	MOURA	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT63	549300V4H4USWZUCE073	PT	BISON BANK, SA		RUA BARATA SALGUEIRO, N.º 33, PISO 0	1269-057	LISBOA	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT6320	529900193J8MGELZQH88	PT	Caixa de Crédito Agrícola Mútuo da Costa Azul, CRL		AVENIDA D. NUNO ÁLVARES PEREIRA, 2	7540-102	SANTIAGO DO CACÉM	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT6330	529900NNB8N87IM0W623	PT	Caixa de Crédito Agrícola Mútuo de São Teotónio, CRL		RUA 25 DE ABRIL, 8	7630-611	S. TEOTÓNIO	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT64	213800FVJ6R9N8797493	PT	BANCO PORTUGUÊS DE GESTÃO S.A.		RUA BARATA SALGUEIRO Nº 37 - 4º	1250-042	LISBOA	Credit Institution					Euro Area BSI Statistics tail reporter
PT6430	529900X83HR44SJCWA90	PT	Caixa de Crédito Agrícola Mútuo do Norte Alentejano, CRL		R. da Lagoa, 14	7460-116	Fronteira	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT6440	529900CAP12S8RQR5F43	PT	Caixa de Crédito Agrícola Mútuo do Alentejo Central, CRL		Parque Industrial e Tecnológico de Évora - Rua Circular Norte, n.º 75	7005-841	Évora	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT65	549300TW29K5QURDVU59	PT	BEST - Banco Electrónico de Serviço Total, SA		Campus do novobanco, Av. Dr. Mário Soares, Edifício 2, Piso 1	2740-119	Porto Salvo	Credit Institution					Euro Area BSI Statistics tail reporter
PT7	5493009W2E2YDCXY6S81	PT	NOVO BANCO, S.A.		Campus do Novobanco, Av. Doutor Mário Soares, Taguspark, Edifício 1	2740-119	Porto Salvo	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT7010	5299005JQVTW9A92U126	PT	Caixa de Crédito Agrícola Mútuo de Albufeira, CRL		RUA 5 DE OUTUBRO, Nº 1 - A	8200-508	PADERNE	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT7130	5299000ZJDP5ALCINY37	PT	CAIXA DE CRÉDITO AGRÍCOLA MÚTUO TERRAS DO ARADE, CRL		RUA COMENDADOR VILARINHO, 22	8300-128	SILVES	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT7140	529900JOIRL0FS9WLA04	PT	Caixa de Crédito Agrícola Mútuo do Sotavento Algarvio, CRL		RUA BORDA DE ÁGUA DE AGUIAR, 1	8800-326	TAVIRA	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT7210	529900X1SABCKDUTBW88	PT	Caixa de Crédito Agrícola Mútuo do Algarve, CRL		R. de Santo António, 123	8000-284	Faro	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT73	549300UP6NJ84OIWNL46	PT	SANTANDER CONSUMER FINANCE S.A. - SUCURSAL EM PORTUGAL		RUA DE CANTÁBRIA, 42, EDIFÍCIO 2	2775-711	CARCAVELOS	Credit Institution	ES	Santander Consumer Finance, S.A.	ES0224	5493000LM0MZ4JPMGM90	Euro Area BSI Statistics full (non-tail) reporter
PT76	213800GRWA67I8Q8O524	PT	Montepio Investimento, SA		Rua Castilho, n.º 5	1250-066	Lisboa	Credit Institution					Euro Area BSI Statistics tail reporter
PT79	549300QQJ6BNALGU6806	PT	ABANCA Portugal, S.A.		AVENIDA ANTÓNIO AUGUSTO DE AGUIAR, N.º 132	1050-020	LISBOA	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT8	549300RMML7KXP6M1Y98	PT	BANCO BAI EUROPA S.A.		Rua Tierno Galvan, Torre 3, 12º Piso	1070-274	Lisboa	Credit Institution					Euro Area BSI Statistics tail reporter
PT8050	529900JU1K99OFBC8F57	PT	Caixa de Crédito Agrícola Mútuo dos Açores, CRL		R. Manuel Inácio Correia, 15 / Lg. da Matriz, 35	9500-087	Ponta Delgada	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT848	213800H2UOPJDGKRTY19	PT	BNP PARIBAS PERSONAL FINANCE, S.A. - SUCURSAL EM PORTUGAL		Rua Galileu Galilei, nº 2, 8º Piso, Torre Ocidente, Centro Colombo	1500-392	Lisboa	Credit Institution	FR	BNP Paribas Personal Finance	FR18029	969500VHT1ZNPVWOYF63	Euro Area BSI Statistics full (non-tail) reporter
PT9000	529900H2MBEC07BLTB26	PT	Caixa Central - Caixa Central de Crédito Agrícola Mútuo, CRL		RUA CASTILHO, 233/233-A	1099-004	LISBOA	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT916	213800JCFD358CCSSK44	PT	Banco Credibom, SA		CENTRO EMPRESARIAL LAGOAS PARK, EDIFÍCIO 14 - PISO 2	2740-262	PORTO SALVO	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PT97	959800M0CWNLUYGGTD17	PT	Caixa de Crédito Agrícola Mútuo da Chamusca, CRL		RUA DIREITA DE S. PEDRO, 216	2140-098	CHAMUSCA	Credit Institution					Euro Area BSI Statistics tail reporter
PT98	549300K42HUHZN128246	PT	Caixa de Crédito Agrícola Mútuo de Bombarral, CRL		R. do Comércio, 58	2540-076	Bombarral	Credit Institution					Euro Area BSI Statistics tail reporter
PTIF1131	213800V6HJE8OG7SXR25	PT	Fundo de Investimento Mobiliário Aberto do Mercado Monetário - CA Monetário		Avenida da República, nº 25, 5º A	1050-186	LISBOA	Money Market Fund					Euro Area BSI Statistics full (non-tail) reporter
ROCCCC01400001	3157006K4C7PJT790450	RO	BANCA CENTRALA COOPERATISTA CREDITCOOP		Calea Plevnei nr.200, sector 6	060015	BUCURESTI	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
ROR361684	259400VHILGGKLBNL383	RO	National Bank of Romania		Str. Lipscani nr.25,sector3	030031	Bucuresti	Central Bank					Euro Area BSI Statistics full (non-tail) reporter
RORBPJR02032	549300CGLRBLXD8PLZ18	RO	BANCA COMERCIALA INTESA SANPAOLO ROMANIA S.A.		Sos. Nicolae Titulescu nr. 29-31, sector 1	011132	BUCURESTI	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
